timestamp,trip.tripId,trip.startTime,trip.startDate,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
1737334471,weekday_U1700_U170002_3,08:46:31,20250120,U1700,3.254817,101.69399,0.0,0.0,WVD4971,WVD4971
1737334468,weekday_P0010_P001002_3,08:47:58,20250120,P0010,3.0848,101.62783,92.0,59.26,WA3714M,WA3714M
1737334477,weekday_U6400_U640001_3,08:20:06,20250120,U6400,3.081413,101.66647,279.5,27.22,WPA5621,WPA5621
1737334489,weekday_U3030_U303002_1,08:31:28,20250120,U3030,3.15946,101.74463,278.6,5.0,WVJ8197,WVJ8197
1737334437,weekday_U6520_U652002_0,07:40:52,20250120,U6520,3.057708,101.68869,268.6,5.74,WPC8505,WPC8505
1737334452,weekday_U7700_U770002_2,08:41:17,20250120,U7700,3.045943,101.58841,38.3,4.07,WQB7795,WQB7795
1737334461,weekday_U2510_U251002_0,08:02:20,20250120,U2510,3.186239,101.70226,202.9,0.0,WNV5654,WNV5654
1737334495,weekday_S1140_S114002_1,08:32:48,20250120,S1140,3.123626,101.76274,336.0,12.04,WVE5068,WVE5068
1737334475,weekday_S4060_S406002_0,07:31:05,20250120,S4060,3.055717,101.525665,337.0,11.11,WVD4692,WVD4692
1737334475,weekday_U7510_U751002_3,08:40:49,20250120,U7510,3.063378,101.527054,82.2,32.6,W4677V,W4677V
1737334454,weekday_U6500_U650002_2,08:50:45,20250120,U6500,3.1364,101.690834,318.0,11.11,WB824L,WB824L
1737334476,weekday_U3030_U303002_1,08:46:25,20250120,U3030,3.127611,101.7779,24.4,39.26,WVL734,WVL734
1737334416,weekday_T6050_T605002_0,08:31:36,20250120,T6050,3.018883,101.61317,191.0,25.93,WB1024K,WB1024K
1737334483,weekday_U5900_U590001_1,08:10:03,20250120,U5900,3.031255,101.76372,64.3,60.36,WPC7940,WPC7940
1737334484,weekday_T6400_T640002_3,07:55:00,20250120,T6400,3.094717,101.64383,114.0,46.3,WVN5492,WVN5492
1737334477,weekday_U3000_U300002_4,08:54:36,20250120,U3000,3.134027,101.75368,78.19,20.37,VGK8931,VGK8931
1737334498,weekday_U6000_U600002_9,08:46:17,20250120,U6000,3.000528,101.61177,337.1,2.59,VGK8917,VGK8917
1737334471,weekday_P0010_P001002_2,08:15:00,20250120,P0010,3.10555,101.639,0.0,14.82,WB3960N,WB3960N
1737334469,weekday_U1700_U170002_2,08:09:59,20250120,U1700,3.174217,101.6925,221.0,25.93,WUW1276,WUW1276
1737334456,weekday_U4200_U420002_2,07:41:16,20250120,U4200,3.133283,101.72366,0.0,0.0,WB5069K,WB5069K
1737334464,weekday_U1900_U190002_3,08:17:54,20250120,U1900,3.172767,101.691826,137.0,22.22,WVA4347,WVA4347
1737334475,weekday_U4000_U400002_0,08:14:33,20250120,U4000,3.090849,101.74046,352.9,22.04,WPW8179,WPW8179
1737334447,weekday_U6000_U600002_7,07:41:04,20250120,U6000,3.109361,101.67822,349.4,8.33,VGK1736,VGK1736
1737334483,weekday_S0030_S003002_1,08:52:43,20250120,S0030,2.96555,101.78649,271.0,50.0,WB2148J,WB2148J
1737334466,weekday_U1710_U171002_6,08:03:56,20250120,U1710,3.190033,101.69116,0.0,1.85,WC1083A,WC1083A
1737334491,weekday_S3030_S303002_2,08:54:18,20250120,S3030,2.996129,101.49059,290.4,7.76,WVB6987,WVB6987
1737334466,weekday_U2010_U201002_1,07:25:26,20250120,U2010,3.2124,101.70801,70.0,18.52,WWC6423,WWC6423
1737334472,weekday_U6410_U641002_0,08:31:02,20250120,U6410,3.084067,101.6335,101.0,11.11,WPB3247,WPB3247
1737334492,weekday_P1030_P103002_0,08:53:52,20250120,P1030,2.948667,101.725,284.0,22.22,WC694F,WC694F
1737334490,weekday_U1730_U173001_2,08:28:39,20250120,U1730,3.205315,101.67868,186.2,29.45,WVE4752,WVE4752
1737334473,weekday_U1900_U190001_2,08:05:00,20250120,U1900,3.163417,101.6515,223.0,11.11,WUW3416,WUW3416
1737334488,weekday_P1060_P106002_0,07:43:19,20250120,P1060,2.9445,101.70783,0.0,0.0,WC8757B,WC8757B
1737334487,weekday_U5900_U590001_2,08:30:26,20250120,U5900,3.060491,101.70817,187.6,31.48,WVC6714,WVC6714
1737334482,weekday_U2510_U251002_0,07:03:59,20250120,U2510,3.198888,101.743866,170.9,8.15,WVD4189,WVD4189
